Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Paper Rex,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Paper Rex,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Paper Rex,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Paper Rex,skye,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Paper Rex,jett,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,G2 Esports,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,G2 Esports,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,G2 Esports,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,G2 Esports,fade,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,G2 Esports,breach,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,EDward Gaming,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,EDward Gaming,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,EDward Gaming,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,EDward Gaming,skye,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,EDward Gaming,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Team Heretics,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Team Heretics,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Team Heretics,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Team Heretics,skye,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Split,Team Heretics,cypher,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Paper Rex,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Paper Rex,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Paper Rex,skye,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Paper Rex,jett,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Paper Rex,breach,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,G2 Esports,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,G2 Esports,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,G2 Esports,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,G2 Esports,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,G2 Esports,fade,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,FNATIC,viper,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,FNATIC,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,FNATIC,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,FNATIC,killjoy,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,FNATIC,fade,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Gen.G,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Gen.G,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Lotus,Gen.G,omen,0,1,1
